driver,team,startingPosition,finishingPosition,points
VER,Red Bull Racing,17.0,1.0,26.0
OCO,Alpine,4.0,2.0,18.0
GAS,Alpine,13.0,3.0,15.0
RUS,Mercedes,2.0,4.0,12.0
LEC,Ferrari,6.0,5.0,10.0
NOR,McLaren,1.0,6.0,8.0
TSU,RB,3.0,7.0,6.0
PIA,McLaren,8.0,8.0,4.0
LAW,RB,5.0,9.0,2.0
HAM,Mercedes,14.0,10.0,1.0
PER,Red Bull Racing,12.0,11.0,0.0
BEA,Haas F1 Team,15.0,12.0,0.0
BOT,Kick Sauber,11.0,13.0,0.0
ALO,Aston Martin,9.0,14.0,0.0
ZHO,Kick Sauber,19.0,15.0,0.0
SAI,Ferrari,0.0,16.0,0.0
COL,Williams,16.0,17.0,0.0
ALB,Williams,7.0,18.0,0.0
STR,Aston Martin,10.0,19.0,0.0
HUL,Haas F1 Team,17.0,20.0,0.0
